net_profit_to_total_assets,total_liabilities_to_total_assets,working_capital_to_total_assets,current_assets_to_shortterm_liabilities,cash_flow_to_operating_expenses,retained_earnings_to_total_assets,ebit_to_total_assets,equity_to_total_liabilities,sales_to_total_assets,equity_to_total_assets,gross_profit_plus_other_to_total_assets,gross_profit_to_shortterm_liabilities,gross_profit_plus_dep_to_sales,gross_profit_plus_interest_to_total_assets,liabilities_to_gross_profit_dep,gross_profit_dep_to_total_liabilities,total_assets_to_total_liabilities,gross_profit_to_total_assets,gross_profit_to_sales,inventory_to_sales_days,sales_growth,operating_profit_to_total_assets,net_profit_to_sales,gross_profit_3yr_to_total_assets,equity_minus_capital_to_total_assets,net_profit_dep_to_total_liabilities,operating_profit_to_financial_expenses,working_capital_to_fixed_assets,log_total_assets,liabilities_minus_cash_to_sales,gross_profit_plus_interest_to_sales,current_liabilities_to_cogs_days,operating_expenses_to_shortterm_liabilities,operating_expenses_to_total_liabilities,profit_on_sales_to_total_assets,total_sales_to_total_assets,current_assets_minus_inventory_to_longterm_liabilities,constant_capital_to_total_assets,profit_on_sales_to_sales,current_assets_minus_inventory_receivables_to_shortterm_liabilities,liabilities_to_operating_profit_dep,operating_profit_to_sales,receivables_inventory_turnover_days,receivables_to_sales_days,net_profit_to_inventory,current_assets_minus_inventory_to_shortterm_liabilities,inventory_to_cogs_days,ebitda_to_total_assets,ebitda_to_sales,current_assets_to_total_liabilities,shortterm_liabilities_to_total_assets,shortterm_liabilities_to_cogs_days,equity_to_fixed_assets,constant_capital_to_fixed_assets,working_capital,sales_minus_cogs_to_sales,current_minus_inventory_minus_stli_to_salesminusprofitminusdep,total_costs_to_total_sales,longterm_liabilities_to_equity,sales_to_inventory,sales_to_receivables,shortterm_liabilities_to_sales_days,sales_to_shortterm_liabilities,sales_to_fixed_assets,bankrupt
-0.17328,1.1372,-0.41881,0.46281,-117.17,-1.0985,-0.17328,-0.1524,0.95288,-0.17332,-0.17328,-0.22226,-0.062766,-0.17328,-3828.6,-0.095335,0.87932,-0.17328,-0.10032,28.189,0.9763,-0.060767,-0.10032,-1.0836,-0.17332,-0.095335,-0.33522,-0.65522,4.027,0.61804,-0.10032,156.98,2.3252,-0.053434,-0.060767,1.7876,0.6359,0.1843,-0.035179,0.11075,9.1312,-0.035179,57.997,29.808,-1.2989,0.29169,26.861,-0.12563,-0.072729,0.31727,0.77962,0.43007,-0.27115,0.28834,-4456.4,-0.049446,0.99979,1.0494,-2.0634,12.948,12.245,164.74,2.2156,2.7024,0
0.059889,0.73053,0.058091,1.0806,-60.49,0.10819,0.06753,0.31637,1.0386,0.23112,0.06753,0.093642,0.052202,0.06753,3334.1,0.10947,1.3689,0.06753,0.044079,57.221,3.4588,0.056192,0.039091,0.12684,0.23112,0.099014,0.38093,0.26314,5.2875,0.47629,0.044079,178.44,2.0455,0.07692,0.056192,1.6321,57.455,0.2405,0.036679,0.089486,0.34992,0.036679,170.28,113.06,0.24936,0.74751,59.427,0.043748,0.028556,1.0667,0.72115,0.48887,1.0469,1.0894,11261.0,0.03713,0.25912,0.96287,0.040596,6.3788,3.2285,171.81,2.1244,6.9397,0
0.11335,0.77366,0.25988,1.4329,-14.822,0.4205,0.11335,0.29256,1.0424,0.22634,0.11335,0.18882,0.037135,0.11335,2331.6,0.15655,1.2926,0.11335,0.034755,43.353,1.1639,0.13297,0.034755,0.4205,0.22634,0.15655,0.425,1.8587,4.3449,0.18665,0.034755,70.033,5.2118,0.17187,0.13297,3.3621,2.7275,0.39969,0.040771,0.27639,0.18073,0.040771,77.698,34.345,0.29261,0.78761,45.192,0.12521,0.03839,1.1118,0.60031,0.19187,1.6189,2.8587,5749.8,0.040701,0.50079,0.9593,0.76587,8.4193,10.627,67.183,5.4329,23.327,0
0.0044121,0.52042,0.21855,1.6486,-39.026,0.047483,0.0077173,0.91355,1.0256,0.47543,0.0077173,0.022903,0.034639,0.0077173,3382.7,0.1079,1.9215,0.0077173,0.0047605,84.079,1.0517,0.030656,0.0027216,0.065289,0.47543,0.10155,0.19394,0.49168,4.0885,0.28482,0.0047605,77.806,4.6912,0.058907,0.030656,1.6294,0.99247,0.65889,0.01891,0.2075,0.21632,0.01891,109.33,25.253,0.011815,0.54036,86.227,-0.017781,-0.010969,1.0674,0.33696,0.21317,1.0696,1.4823,2679.3,0.024917,0.0092802,0.97508,0.38589,4.3412,14.454,75.867,4.8111,3.6471,0
-0.074552,0.85816,-0.15893,0.78986,-70.577,-0.011839,-0.091549,0.15048,1.0052,0.12913,-0.091549,-0.12105,-0.027832,-0.091549,-4975.5,-0.07336,1.1653,-0.091549,-0.040473,44.57,1.0047,0.01308,-0.032959,-0.016706,0.12913,-0.053553,0.058127,-0.39473,4.3163,0.36434,-0.040473,122.68,2.9752,0.015241,0.01308,2.2684,3.1531,0.23099,0.0057824,0.045534,0.677,0.0057824,90.838,46.268,-0.26991,0.42466,44.803,-0.015515,-0.006859,0.69611,0.75631,0.33611,0.32073,0.57372,-3292.2,0.0052107,-0.57732,0.99479,0.78879,8.1894,7.8888,122.04,2.9908,5.6181,0
0.092797,0.58784,0.20958,1.364,-3.822,0.24196,0.10219,0.63701,1.0516,0.37446,0.10219,0.1775,0.091436,0.10219,1765.7,0.20671,1.7011,0.10219,0.076894,19.951,1.2204,0.056669,0.069827,0.28279,0.37446,0.19074,0.44841,0.97611,4.9357,0.44148,0.076894,166.28,2.1951,0.096401,0.056669,1.3991,58.754,0.38659,0.042641,0.26278,0.25431,0.042641,174.13,154.18,1.2775,1.2379,20.98,0.037342,0.028099,1.3359,0.57571,0.45555,1.744,1.8005,18072.0,0.049061,0.24782,0.95094,0.032392,18.295,2.3674,158.12,2.3084,6.1896,0
0.14313,0.23033,0.48528,3.3182,75.665,0.38035,0.173,3.0982,1.1504,0.71361,0.173,0.82642,0.16915,0.173,383.42,0.95196,4.3415,0.173,0.13345,68.567,1.1271,0.16332,0.11041,0.4644,0.71361,0.82227,1.4494,1.5891,4.8559,0.14821,0.13345,67.808,5.3829,0.70907,0.16332,1.3355,21.484,0.73461,0.12599,0.25247,0.03613,0.12599,180.7,112.13,0.58775,2.1549,78.88,0.11705,0.090296,3.0157,0.20934,0.18577,2.3368,2.4055,34824.0,0.13074,0.20057,0.86926,0.029424,5.3233,3.2551,58.942,6.1925,4.2449,0
0.18586,0.14481,0.046994,1.3347,-150.22,0.1513,0.19019,5.9058,1.0813,0.85519,0.19019,1.3546,1.1115,0.19019,243.95,1.4962,6.9058,0.19019,0.9757,205.25,1.9675,0.19001,0.95351,0.15562,0.85519,1.4664,10.54,0.057831,3.6056,0.50606,0.9757,284.28,1.2839,1.3122,0.19001,0.37583,17.672,0.85959,0.9748,0.3399,0.021991,0.9748,261.55,56.3,1.6957,0.55404,221.93,0.16353,0.83896,1.2941,0.1404,0.77885,1.0524,1.0578,189.5,0.075164,0.21733,0.92484,0.0051472,1.7783,6.4831,262.91,1.3883,0.23987,0
0.019365,0.77612,0.17692,1.2772,-41.922,0.084281,0.025748,0.1959,1.0273,0.15204,0.025748,0.040337,0.02849,0.025748,4968.3,0.073466,1.2885,0.025748,0.012865,71.424,1.1373,0.048834,0.0096763,0.10659,0.15204,0.065242,0.25068,0.95759,5.0832,0.32326,0.012865,119.6,3.0518,0.062921,0.048834,2.0264,3.0743,0.28983,0.024401,0.2157,0.31854,0.024401,123.57,52.15,0.049449,0.66365,73.377,0.017564,0.0087763,1.0504,0.63832,0.32767,0.82291,1.5687,21428.0,0.026614,0.12737,0.97339,0.90632,5.1103,6.9991,116.42,3.1353,10.832,0
0.045182,0.25257,-0.072365,0.49304,-60.709,0.062022,0.064398,1.7099,1.1214,0.43188,0.064398,0.45115,0.18383,0.064398,909.61,0.40127,3.9592,0.064398,0.11681,2.4738,1.2167,0.061628,0.081953,0.088124,0.43188,0.32519,1.2536,-0.077843,5.1611,0.4515,0.11681,105.98,3.4441,0.244,0.061628,0.56786,0.60674,0.54171,0.11178,0.029602,0.084233,0.11178,43.796,41.322,12.092,0.46686,2.7742,0.024675,0.044756,0.27864,0.14274,0.29035,0.46457,0.58272,-10486.0,0.10827,0.10462,0.89173,0.25432,147.55,8.8331,94.503,3.8623,0.59305,0
-0.10576,1.1276,-0.093909,0.88917,-174.44,-0.19177,-0.10576,-0.13107,1.0452,-0.1478,-0.10576,-0.12481,-0.040462,-0.10576,-8366.0,-0.043629,0.88681,-0.10576,-0.08698,132.49,1.0933,0.021127,-0.08698,-0.19177,-0.1478,-0.043629,0.18161,-0.38083,4.3171,0.92368,-0.08698,265.84,1.373,0.018736,0.021127,1.2327,1.1132,0.13251,0.017376,0.006579,0.47721,0.017376,224.5,92.001,-0.23962,0.36828,138.48,-0.035432,-0.029141,0.66813,0.84732,0.72834,-0.59939,0.53738,-1949.1,0.043201,0.71552,0.9568,-1.8965,2.7548,3.9673,254.36,1.435,4.9308,0
0.14784,0.66837,0.16778,1.4266,-0.5208,0.34805,0.17598,0.47465,1.1808,0.31724,0.17598,0.44749,0.14033,0.17598,1258.8,0.28997,1.4962,0.17598,0.12742,44.371,1.2819,0.20856,0.10704,0.433,0.31724,0.24786,1.7831,0.38223,4.6926,0.46648,0.12742,122.73,2.9741,0.31204,0.20856,1.3956,1.4291,0.59235,0.15101,0.065273,0.097065,0.15101,141.49,97.119,0.88055,0.99971,52.394,0.19074,0.1381,0.83943,0.39327,0.33623,0.72273,1.3495,8266.8,0.15313,0.46601,0.84687,0.86717,8.226,3.7583,103.93,3.5119,3.1464,0
0.014734,0.51071,0.16,1.3192,6.532,0.16135,0.020396,0.81992,1.0127,0.41874,0.020396,0.040693,0.033969,0.020396,4855.5,0.075172,1.9581,0.020396,0.018047,40.688,0.61131,0.013168,0.013037,0.19431,0.41874,0.064085,0.11799,0.47229,4.7383,0.38189,0.018047,163.93,2.2265,0.025783,0.013168,1.1809,56.421,0.42823,0.011651,0.18596,0.5388,0.011651,183.45,142.76,0.11695,1.0679,41.205,-0.0048274,-0.0042714,1.2947,0.50122,0.44913,1.236,1.2641,8759.1,0.012545,0.035185,0.98745,0.022655,8.9707,2.5568,161.88,2.2548,3.336,0
0.13938,0.4221,0.22246,1.652,65.583,0.33219,0.17338,1.3691,1.2111,0.5779,0.17338,0.50813,0.1533,0.17338,825.14,0.44235,2.3691,0.17338,0.14235,6.0838,1.2178,0.17086,0.11444,0.42207,0.5779,0.3618,1.6989,0.50984,4.5901,0.26331,0.14235,123.84,2.9474,0.40479,0.17086,1.2302,6.717,0.65879,0.14029,0.35984,0.075339,0.14029,132.13,126.04,6.8658,1.5925,7.3679,0.15752,0.12934,1.3354,0.34121,0.33928,1.3244,1.5098,8657.0,0.17428,0.24118,0.82572,0.13998,59.995,2.8958,102.25,3.5695,2.7913,0
0.058254,0.15833,0.20345,2.3318,29.644,0.19203,0.077984,4.8871,1.0479,0.77375,0.077984,0.51051,0.069299,0.077984,465.26,0.78451,6.316,0.077984,0.043509,12.689,1.0396,0.06361,0.032501,0.24941,0.77375,0.6599,0.37191,0.31602,4.0748,0.025556,0.043509,32.599,11.197,0.40176,0.06361,1.8418,52.771,0.77932,0.035489,0.76348,0.047391,0.035489,48.788,36.099,0.93487,1.9239,13.298,0.017384,0.0096986,2.2498,0.15276,0.089313,1.2019,1.2105,2416.9,0.045755,0.075288,0.95424,0.0071976,28.764,10.111,31.108,11.733,2.7841,0
0.087501,0.35517,0.20174,1.6244,-19.151,0.1734,0.11266,1.454,1.1101,0.51641,0.11266,0.34869,0.14198,0.11266,729.74,0.50018,2.8155,0.11266,0.09004,73.491,1.0693,0.11481,0.069932,0.21844,0.51641,0.42934,1.0186,0.42457,4.9177,0.23766,0.09004,104.63,3.4886,0.32326,0.11481,1.2742,8.5076,0.54849,0.09176,0.19846,0.064943,0.09176,134.4,60.904,0.34732,0.84466,81.582,0.049825,0.03982,1.4777,0.32309,0.28665,1.0868,1.1543,16692.0,0.099182,0.16944,0.90082,0.062116,4.9666,5.993,94.25,3.8727,2.6333,0
0.071449,0.33233,0.1007,1.7744,-12.045,0.12401,0.088214,1.6282,1.0892,0.54111,0.088214,0.67832,0.2281,0.088214,882.42,0.41364,3.009,0.088214,0.14638,70.908,1.4408,0.094176,0.11856,0.15638,0.54111,0.36319,1.7021,0.13091,4.7644,0.50052,0.14638,85.789,4.2546,0.28338,0.094176,0.66583,0.56194,0.7434,0.15627,0.23976,0.076178,0.15627,120.87,49.961,0.61027,0.87409,77.234,0.044925,0.074545,0.69434,0.13005,0.23504,0.70343,0.96639,5853.6,0.081897,0.13204,0.9181,0.37383,5.1475,7.3056,78.763,4.6341,0.78343,0
0.027219,0.39263,0.29024,1.8849,34.464,0.036207,0.042684,1.4895,0.78853,0.58483,0.0987,0.13014,0.087897,0.042684,2067.7,0.17653,2.5469,0.042684,0.054132,11.717,0.95532,0.090528,0.034519,0.0,0.57598,0.13714,1.6161,0.76025,5.3086,0.49793,0.054132,188.34,1.9512,1.6299,0.1529,0.78853,9.1718,0.64947,0.19391,0.63,0.11171,0.11481,190.52,178.81,1.0753,1.8078,14.437,0.063903,0.081041,1.5746,0.32798,0.51251,1.5319,1.7012,1.8849,0.19391,0.0,0.86086,0.11054,31.151,2.0413,151.82,2.4042,2.0654,0
-0.092657,0.20486,0.36102,2.7772,46.713,-0.081249,-0.10902,2.5815,0.95163,0.52886,-0.10902,-0.53667,-0.024883,-0.10902,-1334.7,-0.27347,4.8813,-0.10902,-0.048419,9.0297,0.97091,-0.11291,-0.041153,-0.091967,0.52886,-0.19362,-0.47723,0.82832,4.0514,0.02247,-0.048419,31.338,11.647,-0.55115,-0.11291,2.2592,294.12,0.53058,-0.050148,0.78501,-0.11241,-0.050148,65.606,56.576,-1.6635,2.503,8.5929,-0.1659,-0.073684,2.7538,0.20314,0.085857,1.2134,1.2174,4064.0,-0.050833,-0.1752,1.0508,0.0032688,40.422,6.4515,32.931,11.084,5.1659,0
0.041112,0.35435,0.27913,1.9363,-34.036,0.24335,0.050073,1.7437,1.075,0.61787,0.050073,0.16797,0.082269,0.050073,1635.5,0.22317,2.822,0.050073,0.052091,136.07,0.94453,0.061092,0.042769,0.29633,0.61787,0.19789,0.68319,0.66027,4.7126,0.36593,0.052091,121.68,2.9996,0.1724,0.061092,0.97372,3.8919,0.67412,0.063554,0.017375,0.1293,0.063554,217.22,81.149,0.11472,0.73426,146.27,0.032082,0.033375,1.629,0.29811,0.33338,1.4615,1.5946,14403.0,0.069752,0.066537,0.93025,0.091026,2.6824,4.4979,113.2,3.2245,2.2738,0
0.033172,0.32835,0.11574,1.4966,-27.111,0.087166,0.043602,2.0455,1.0654,0.67165,0.043602,0.18709,0.09192,0.043602,1453.9,0.25105,3.0455,0.043602,0.04862,71.718,1.0326,0.059764,0.03699,0.12131,0.67165,0.21928,0.71003,0.17774,4.9125,0.36561,0.04862,101.06,3.6117,0.18201,0.059764,0.9058,1.811,0.76695,0.066643,0.0020475,0.10949,0.066643,141.77,70.051,0.18825,0.74056,76.41,0.020933,0.023343,1.0623,0.23305,0.27688,1.0314,1.1777,9462.5,0.061411,0.049388,0.93859,0.14189,5.0894,5.2105,94.854,3.848,1.3771,0
0.086576,0.23411,0.37527,2.9588,65.337,0.11448,0.11212,3.2689,1.0699,0.76529,0.12051,0.58522,0.13319,0.11212,599.66,0.60868,4.2714,0.11212,0.10479,56.816,1.0491,0.10979,0.08092,0.0,0.67902,0.49958,13.074,0.86638,5.2148,0.21882,0.10479,107.96,3.5545,2.9087,0.42216,1.0699,9.4121,0.80782,0.39458,0.50468,0.055671,0.10262,160.4,103.58,0.51985,2.0895,89.266,0.07941,0.074222,2.4213,0.19158,0.28134,1.7668,1.865,2.9588,0.39458,0.0,0.62305,0.055576,6.4242,3.5237,65.359,5.5845,2.4701,0
0.15827,0.25529,0.02364,1.1076,-20.93,0.55349,0.16665,2.8939,1.0495,0.73878,0.16665,0.75832,0.12919,0.16665,547.23,0.66699,3.9171,0.16665,0.12643,26.433,0.67753,0.06202,0.12008,0.59783,0.73878,0.63418,0.4938,0.031245,4.2303,0.18306,0.12643,63.865,5.7152,0.24294,0.06202,1.4516,4.1636,0.77431,0.047053,0.068267,0.12785,0.047053,63.247,36.814,1.658,0.67321,27.741,0.05839,0.044299,0.95342,0.21976,0.17497,0.97645,1.0234,401.71,0.047125,0.21423,0.95287,0.048096,13.808,9.9148,60.855,5.9979,1.7421,0
0.097611,0.556,0.23734,1.4333,-3.0183,0.21793,0.12292,0.67897,1.1079,0.37751,0.12292,0.22439,0.084964,0.12292,1406.3,0.25955,1.7986,0.12292,0.072367,53.497,1.0597,0.16063,0.057469,0.27733,0.37751,0.21404,1.0477,1.1046,4.682,0.32295,0.072367,130.42,2.7987,0.2889,0.16063,1.7217,65.27,0.38572,0.09457,0.015605,0.10042,0.09457,166.88,113.39,0.3921,0.97883,59.268,0.13923,0.081973,1.4121,0.54778,0.3573,1.7569,1.7951,11411.0,0.097382,0.25857,0.90262,0.021761,6.8229,3.2191,117.72,3.1007,7.9047,0
0.085754,0.83466,0.010132,1.029,-100.44,0.091915,0.098192,0.056237,1.1738,0.046938,0.098192,0.28109,0.094606,0.098192,2583.1,0.1413,1.1981,0.098192,0.078766,87.928,2.3629,0.20998,0.068789,0.10652,0.046938,0.1264,1.977,0.015818,4.3873,0.64391,0.078766,120.05,3.0404,0.25157,0.20998,1.2767,0.12186,0.53228,0.16844,0.093261,0.11945,0.16844,95.706,7.7775,0.28555,0.1693,103.21,0.19023,0.1526,0.43066,0.34932,0.3289,0.073278,0.83097,247.17,0.14803,1.8269,0.85197,10.34,4.1511,46.93,102.28,3.5687,1.9462,0
-0.019221,0.65839,0.33689,1.9482,2.5647,0.044891,-0.027596,0.43346,1.0469,0.28538,-0.027596,-0.077674,0.0061699,-0.027596,16869.0,0.021637,1.5189,-0.027596,-0.011952,49.33,0.8295,0.093488,-0.0083245,0.062038,0.28538,0.034359,0.42391,1.0944,5.3219,0.28137,-0.011952,58.801,6.2074,0.142,0.093488,2.3405,1.2541,0.58849,0.04049,0.051075,0.15995,0.04049,106.55,57.222,-0.061594,1.0699,51.646,0.051646,0.022368,1.0513,0.35528,0.1611,0.92708,1.9117,70699.0,0.044833,-0.06735,0.95517,1.0621,7.3991,6.3787,56.164,6.4988,7.5006,0
